track_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,C_gate_arcsec,motion_significance_chi2,flux_A,flux_C,flux_B,A_class,C_class,B_class,A_counterpart_epochs,C_counterpart_epochs,B_counterpart_epochs,passes_fixed_4arcsec_C_gate,rejection_reason,rejection_detail
REJ-0337,27758,25416,29099,155.32395234008365,-43.85448542868093,155.302978390103,-43.8442667315621,155.28894001546777,-43.83611498267864,112.41591309018786,3.645226578214195,2.520785772637466,4.107054004044094,20871.362809771035,2.3779737115692257,3.3672724254527164,2.066449964371694,BLEND_FRAGMENT,STATIONARY,STATIONARY,,AB,AC,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0338,27593,25255,28995,153.94152595640617,-43.226800735511034,153.9418122969148,-43.22742493240442,153.94048576083784,-43.228374302825245,6.287714511550067,0.20388700695191841,2.5295841358042193,2.233034051541387,72.58362771798878,5.218782850335186,5.0991087063042135,6.3214492422535145,STATIONARY,STATIONARY,BLEND_FRAGMENT,CB,A,,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0339,30845,28569,32387,152.74187208969494,-43.02851275324693,152.75266058510542,-43.03881252845138,152.75975177829125,-43.04746814243221,82.88502056058475,2.6876504542633577,2.532735909437584,3.2779552803752026,13707.313860625787,11.041791976252748,10.074703103723337,8.201208576840568,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0340,32341,30246,34114,153.35719523096066,-43.46804795083195,153.35026628871714,-43.48191191752313,153.3465869156064,-43.49153309202142,88.97205494757709,2.8850301571899974,2.53549626805294,3.47495081438251,14533.167659706702,4.3723751386455705,7.664992727474008,7.808823290283331,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0341,21208,18487,21998,154.23215307910843,-42.64540167943156,154.2419539993077,-42.63101517277623,154.2476580181352,-42.62084451816845,97.4779651385188,3.1608449332977937,2.545892995550487,3.674590803849337,17444.79821554056,7.562263017217399,7.8420774862526805,4.1289777796224545,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0342,10949,8107,11621,155.68194577955754,-42.064420545068195,155.69168893189538,-42.074104887833755,155.7004289087254,-42.08080076715435,76.921217765733,2.4942666898350883,2.546167718832846,3.279400875789912,10288.659632351104,7.610273450672663,3.7841619892888763,3.2747069183207818,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0343,29400,26933,30524,154.79497030455966,-43.796439035254586,154.81239395845506,-43.78793342216025,154.8253207076174,-43.78041014178356,97.72999778385352,3.1690174070348056,2.55045754065545,3.745039513272652,16608.188902363352,4.012053937108651,2.091887115390995,3.6204193538188254,STATIONARY,STATIONARY,STATIONARY,CB,B,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0344,8380,5271,8670,155.50036120805393,-41.66230771513803,155.50285600364944,-41.648577442900674,155.5055158600993,-41.6395009751346,83.266855052849,2.700031915227553,2.563775702280324,3.325563085478446,13833.898399284482,8.716589181862057,6.965585206252919,11.074127882216597,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0345,8539,5370,8753,155.49838939493415,-41.67985737462949,155.50013641950136,-41.66204553365524,155.50300215752299,-41.64847633626462,113.65082929945667,3.6852702807839792,2.5662082253143277,4.0608750384477315,24699.94011427141,7.484879748402878,5.2683503289620175,11.298941222146963,STATIONARY,STATIONARY,STATIONARY,C,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0346,26637,24144,27725,153.82125545827734,-43.06561666631295,153.84138203138775,-43.06143715231986,153.8565997648393,-43.05712624669188,97.8599518572908,3.1732313303968898,2.5729157169385313,3.6305605641421432,19107.78093242234,16.833684408799954,10.199292857625622,14.797568718606026,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0347,23002,20584,24275,153.61449583895543,-42.57357988937551,153.62857617152116,-42.58558418571181,153.63729744484633,-42.59445233184107,96.43113207873567,3.1269000620818006,2.5798663387332876,3.723352755033013,15357.826374982516,2.039195676927882,2.0075505018626836,3.625478457388421,STATIONARY,BLEND_FRAGMENT,STATIONARY,CB,,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0348,21852,19488,23157,156.20032299474047,-43.586015959345566,156.20731585565312,-43.60227458990478,156.21330566376477,-43.61319739160443,103.54134875164034,3.3574577303021376,2.5902328922141296,3.891403170965706,17706.097795886657,2.2723374186875156,3.1164099777635728,3.7487328956178074,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0349,28958,26773,30590,154.15477992742183,-43.46547416197458,154.1541733465575,-43.47957976518533,154.1553597642622,-43.49041441967437,89.79770368800372,2.9118028502201883,2.5919804359146874,3.5033026100833045,14021.580189288838,3.507452390487483,6.854355826940947,5.197210081610939,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,AC,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0350,32625,30473,34263,155.6811018531809,-44.52678634543702,155.66135058880423,-44.52559488587292,155.64846723846804,-44.52447828480368,84.17022902173503,2.7293249459998807,2.5919968591409925,3.4185706903846014,13006.787911607436,4.996882983499381,2.604026941534655,5.78026626678202,STATIONARY,STATIONARY,STATIONARY,CB,B,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0351,32788,30408,34042,152.82763186751524,-43.27938132623627,152.83447775777682,-43.26315234662986,152.83827856091713,-43.25200468491431,102.43157921999884,3.3214720652727885,2.5998040081733276,3.7877904190913196,20064.04157185049,9.630489728826376,7.7981706465567955,5.622997575432244,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0352,8032,4892,8295,155.45032045473556,-41.59552362401681,155.4752910189019,-41.59109554135683,155.49248588836792,-41.58863944893137,116.19996653155354,3.7679292436881013,2.6007976751802215,4.149924232508998,23478.940971991542,5.478417614124564,4.82139992838361,3.8499056138362358,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0353,10963,8039,11530,155.83926547818652,-42.134827895253395,155.8406145389712,-42.13297898094048,155.84117276552217,-42.132829428166225,8.814057830557308,0.28580684871623235,2.609211339656849,2.3588572830335433,128.30601427259393,2.4853814580290927,3.135543260778796,3.0043375743361365,STATIONARY,STATIONARY,STATIONARY,CB,B,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0354,12485,9675,13292,155.6067946621374,-42.222562102125565,155.59123582409958,-42.22318172033374,155.57842105361402,-42.22444844070906,75.94554027928609,2.46262912707733,2.6093643115116607,3.268828751602846,9525.763061540956,2.3731942543342983,2.8369344467609596,3.654131399490088,STATIONARY,STATIONARY,STATIONARY,CB,B,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0355,20772,18217,21871,156.15810220046055,-43.44304270396527,156.15767458003273,-43.4434986138465,156.15595070374644,-43.44458220168844,7.895568383164739,0.2560236796487127,2.6188342688998336,2.355927593944247,102.95845607271853,2.762421669918,2.1960297778763986,2.423423996146154,STATIONARY,STATIONARY,STATIONARY,CB,A,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0356,7278,4205,7666,156.25152545638284,-41.84498011231101,156.25442770366834,-41.84504146759934,156.25498749160548,-41.845539357068034,9.500320781464007,0.30805978319430627,2.619369417735294,2.2387679100197193,163.11236263797016,3.4935764194097056,7.224330726736822,8.550319058010842,STATIONARY,STATIONARY,STATIONARY,B,B,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0357,20121,17654,21397,155.69048888306904,-43.161685819699876,155.67007778359172,-43.16833645919086,155.65327297007698,-43.17302553072133,105.90193140863042,3.4340025752871024,2.621229930533697,3.9481623568812942,18522.64419094386,3.0825198757474985,2.042008771562345,2.7256321061616697,STATIONARY,STATIONARY,STATIONARY,B,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0358,25466,22938,26456,153.80551278182915,-42.93301773931191,153.80649759723423,-42.91627619452816,153.80849014059595,-42.904763072278115,102.01921360303439,3.308100594405541,2.628549233955287,3.772661411688365,19902.82045409746,7.787287013553389,5.071253058289284,11.168921642938724,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0359,11006,8084,11606,155.3374663537984,-41.91828012629206,155.3395329903772,-41.91811814528574,155.33943973006478,-41.91839732233106,5.302995483129149,0.17195626088758298,2.6303013802594366,2.2307328037950085,51.62921898840474,4.781229176612176,4.447602439404987,6.655246299877523,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0360,21785,19262,22864,156.84552356425178,-43.85473996870259,156.84819562053534,-43.855028179870295,156.848425437709,-43.855064892521646,7.623387933388094,0.2471978881542279,2.6317164773963277,2.158904784075408,111.13394291432164,4.273886000238217,8.719005292676826,9.816336067373811,BLEND_FRAGMENT,STATIONARY,STATIONARY,,B,C,True,STATIONARY_SOURCE,2 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0361,30495,28391,32313,153.5640575982113,-43.36592259810903,153.55702629122015,-43.3843722772199,153.55356099675598,-43.39785494696265,118.19157802370114,3.83250973718842,2.6317849170868146,4.236483229413425,24290.67371125448,3.3996286889013425,3.982991179933392,4.0861852148807225,STATIONARY,STATIONARY,STATIONARY,CB,AB,C,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0362,21971,19585,23281,153.8639441915575,-42.56730220355441,153.86869031539862,-42.58346448819191,153.87314199599882,-42.59435042880907,100.37959839373684,3.2549340206111292,2.635368832368336,3.889078434704094,15603.976191215226,1.3955527332399629,1.9730504357666367,3.114614565769595,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
REJ-0363,16378,13538,17023,155.38595175404689,-42.592408414817584,155.38466128387438,-42.57872825586564,155.38217557848762,-42.567999300914096,88.44109849272176,2.8678132300850216,2.653317111876942,3.640527687355183,11402.298634524961,1.2592472860651382,0.9942384250653021,0.6204017835286695,STATIONARY,STATIONARY,STATIONARY,CB,AB,AC,True,STATIONARY_SOURCE,3 of 3 detections are stationary sources present at the same sky position in other epochs
