candidate_id,type,ra_deg,dec_deg,x,y,peak_snr,pixels
CAND-073,A_brighter,153.74969855205467,-42.69536955917636,426.8409124220571,1496.0933677777223,166.45971869972684,3
CAND-074,A_brighter,156.3971598123055,-43.76030762500713,1713.3119511448365,1444.8049684041328,166.21633266679908,5
CAND-075,A_brighter,154.85344818869868,-43.207006139024216,985.0000000000001,1505.106225682509,165.824760647949,2
CAND-076,A_brighter,154.91864940732015,-43.66788849862472,1139.1513872121088,1720.7479382078093,165.77632741476722,4
CAND-077,A_brighter,155.36560375861436,-42.67173513427862,1026.2962650692407,1123.7394047951718,165.71682746133794,5
CAND-078,B_brighter,154.0834791182403,-42.82710316870924,589.490564454147,1486.8261867377953,-165.61032749690565,5
CAND-079,A_brighter,153.36567549598894,-42.02982924388498,88.07547342344196,1251.3379109418206,165.4398171090326,6
CAND-080,A_brighter,156.2264365503212,-42.51853648581224,1309.9561020538438,856.8928058320637,165.35254717433796,7
CAND-081,A_brighter,153.6224287568725,-42.429516375382285,301.7427979517525,1392.3515878814637,165.2634091937309,4
CAND-082,A_brighter,153.96881963378507,-41.63066536872924,199.17961039010896,914.7180690838893,165.2525776497703,4
CAND-083,B_brighter,153.97297280142882,-42.01442001642398,312.5205637426437,1105.880438050118,-164.82051692848916,4
CAND-084,B_brighter,155.91856490447222,-42.538691536559654,1198.505066404175,934.7569594979897,-164.38995187911985,4
CAND-085,A_brighter,156.05532498064454,-41.491779833991,960.1714937818839,375.68760963161606,164.04850032174903,5
CAND-086,A_brighter,155.74609330341,-44.37866947088928,1641.1248184383367,1894.9792441585757,163.95022733711176,4
CAND-087,A_brighter,156.65541851745678,-44.51326313211823,2011.6071739584522,1767.0062465296305,163.8116203184969,6
CAND-088,B_brighter,156.3615284267584,-42.606630789365454,1385.5257040959684,871.727455703442,-163.59922622967838,4
CAND-089,A_brighter,156.9587636787865,-41.93339976711982,1430.7955491931043,400.0975976458228,163.5933012370174,3
CAND-090,B_brighter,156.14565943146806,-42.5885998101998,1298.5303548530035,909.969878401411,-163.09734848338164,3
CAND-091,A_brighter,155.29320721982023,-42.55137473143966,965.1545656978117,1079.3332031358987,162.9306650137322,5
CAND-092,B_brighter,157.9202964871084,-42.12258915244973,1853.249892118002,286.9649204014757,-162.85723858017758,12
CAND-093,B_brighter,156.5965375975479,-42.85491260196102,1542.5108885841726,945.7158414044353,-162.26747182333477,4
CAND-094,A_brighter,156.78419185244707,-42.90820199959816,1628.1131198677538,931.803020418464,162.2369555407471,4
CAND-095,B_brighter,155.95202035330092,-42.8472103474531,1296.5128914908041,1082.7368012680238,-162.12237173222678,4
CAND-096,A_brighter,156.2563694136835,-40.9799997602402,895.9623775754825,71.35335425246642,161.90346790324398,6
CAND-097,A_brighter,153.82346502055358,-41.59764407059298,134.25853781569953,931.2224971766987,161.78222391848985,4
CAND-098,B_brighter,157.0112549767133,-42.4561654044846,1592.4935761570605,653.7420889426116,-161.78056116235183,4
CAND-099,A_brighter,156.3089859298851,-43.73518460952855,1673.6489830127348,1451.252450689292,161.284249114835,4
CAND-100,A_brighter,154.04404286676467,-42.92799475088962,603.9190834523246,1545.9298291913215,160.91139942304227,3
