candidate_id,ra_epoch_A,dec_epoch_A,ra_epoch_B,dec_epoch_B,separation_arcsec,motion_arcsec_per_day,flux_A,flux_B,flux_ratio_B_over_A,source_A_id,source_B_id
MOTION-260,153.06823949338477,-42.78016300020643,153.0455325472769,-42.76989796026201,70.46958807894646,2.2850645283207967,2.3197596620255507,2.5556416052425317,1.1016837852120487,12045.0,11478.0
MOTION-261,158.13502314433427,-42.316467842014966,158.15420696712872,-42.32991404060357,70.35935487981519,2.281490078972576,6.086882517661941,3.8709496043322096,0.6359494524660378,2245.0,2163.0
MOTION-262,158.52242859391683,-41.91538961482976,158.54274130187645,-41.92777692501653,70.3498007583154,2.2811802746338024,3.732127244449775,1.9146482125049715,0.5130179351072064,373.0,373.0
MOTION-263,154.7135529987896,-42.14825455754809,154.6942379140605,-42.16153988894597,70.31817242646972,2.2801546864168034,3.149948234437864,2.8540923367802526,0.9060759493051131,6982.0,6756.0
MOTION-264,155.91795747581872,-43.398246345290765,155.93730154591714,-43.38471780377532,70.23391556051725,2.27742255215997,14.62347423184751,26.835461453598832,1.8350947954047494,9603.0,9058.0
MOTION-265,153.53045769609025,-43.40019327559651,153.5571311596221,-43.39807822863276,70.18418858300544,2.2758100927216436,4.948472516501941,4.611668187317832,0.9319377185462889,13695.0,12989.0
MOTION-266,156.22849623945697,-42.755705369457296,156.23432623987816,-42.774698647978575,70.09038762814329,2.2727684794453182,0.8023324344238897,0.5948836005254152,0.7414427922916615,6779.0,6543.0
MOTION-267,156.63170091793268,-42.02050916679622,156.61163598149147,-42.03303123260831,70.08059509589795,2.2724509443399445,1.1360550028121388,1.6704529721295236,1.4703979719243878,3491.0,3406.0
MOTION-268,156.0433635390092,-44.76578199149054,156.0216574500999,-44.77766358006173,70.04997242008218,2.2714579657774694,3.8648788369461258,5.151997877047124,1.3330295966323304,14814.0,14222.0
MOTION-269,156.3890661809599,-42.37165923257682,156.40989150190438,-42.35975170181924,70.04273365943467,2.271223239910105,19.351331425660963,19.353484489683687,1.0001112618028891,5137.0,4785.0
MOTION-270,153.94265149750143,-42.22841149338282,153.91829031424473,-42.221145127670376,70.01369562137735,2.270281645208821,6.427451530616604,3.490678262062393,0.5430890058734558,8530.0,8151.0
MOTION-271,154.29718451701308,-40.96200634651206,154.30345998229657,-40.98086373315838,69.99677885933409,2.2697330980421224,0.6886570505695553,1.2621489007876296,1.8327684291386646,3401.0,3293.0
MOTION-272,153.94582493245255,-42.95884245065117,153.9448163958717,-42.97824991614075,69.91736855727099,2.2671581196808988,5.188567152073104,5.348910122814696,1.0309031310652936,11190.0,10745.0
MOTION-273,156.19027697166243,-40.9595337318433,156.20610362141463,-40.97484150963445,69.91249642850322,2.267000134812133,2.325267987750264,4.496479350922999,1.9337467227910443,513.0,540.0
MOTION-274,154.12660691682956,-42.04810684028615,154.13476465120084,-42.02970052814612,69.76014304360253,2.2620598857614906,4.77403154315084,2.96429285479878,0.6209202490611028,7598.0,7166.0
MOTION-275,156.0516684657678,-43.55050608929715,156.05441534700992,-43.53127288491952,69.6096001757397,2.2571783449901774,4.075590768721377,2.402167367162648,0.5894034763250463,9946.0,9394.0
MOTION-276,154.42624761357197,-42.893684196612426,154.4259644363471,-42.91298520386633,69.48763862068388,2.25322358903269,27.9783987115123,14.481724577981176,0.5176037673672285,10156.0,9753.0
MOTION-277,152.79037259591007,-42.93798206239186,152.80213175140176,-42.95525164843973,69.46497028206335,2.2524885398020955,9.002406861394256,5.206302216395693,0.5783233635798329,13168.0,12572.0
MOTION-278,156.88573396468013,-42.80795573364467,156.89391048378428,-42.78962093913363,69.44906424102814,2.251972766528171,1.7051615562897202,1.0578938115230547,0.6204067923188097,5963.0,5599.0
