source_a,source_b,ra_a,dec_a,ra_b,dec_b,separation_arcsec,flux_a,flux_b,brightness_change_percent
11764,11207,153.9477942965493,-43.10472258675867,153.94794128595484,-43.10503893974297,1.202617004495345,74.31540478143873,72.74203664519432,-2.1171493862836113
11768,11212,155.80449511709443,-43.9262016565385,155.80436255070916,-43.926315139879804,0.5339014165403182,2.0106972357256936,2.1768021449776116,8.261060208399204
11770,11215,156.81904958062304,-44.361489101270436,156.8189146787547,-44.36148062418963,0.34854821617634996,3.172415731159547,2.876185756472785,-9.337678280219833
11771,11217,154.21685641139635,-43.22908696126831,154.216527691193,-43.229113999383955,0.8677213381056902,66.01179270835674,64.44314386843907,-2.376316072566059
11772,11223,154.6637308129866,-43.428541297798965,154.66416548694406,-43.428611572253665,1.1642459603861455,4.13632877108471,4.137446765468236,0.027028663469448086
11778,11222,153.03435816174238,-42.696005641290164,153.03435707105407,-42.69595781586843,0.1721957014763666,6.25097289439225,6.603136465148173,5.633740166620295
11784,11224,155.94568245314608,-43.99041146936152,155.945392345182,-43.990306008265165,0.8418623550861053,10.285135516705324,9.018084579345127,-12.319243974007227
11788,11226,156.5483649999477,-44.248780764395875,156.54804083832136,-44.248653370748784,0.9534715381505403,15.056736651815672,15.05513865680512,-0.01061315640637021
11789,11235,152.93412862952678,-42.65367808107197,152.93456777328328,-42.65352604408736,1.285092038388596,5.3281084358269055,5.581857580172343,4.76246208953247
11791,11236,154.20088639902298,-43.22703381873183,154.2009243453676,-43.22632579864478,2.5508151622573023,12.579796829423833,12.416774843592083,-1.295903169520551
11794,11230,154.9157955851356,-43.54199471911287,154.9153847088266,-43.54191382092204,1.1110442059208443,1.499235089901001,1.4519639877737447,-3.153014656986032
11798,11234,152.91609173979242,-42.646165394070835,152.9160759754274,-42.64627167495406,0.3848816144637879,1.958043554696296,2.323065237173876,18.64216358221903
11800,11237,155.53787160450332,-43.81732210441271,155.5376427102958,-43.81748249314345,0.828797181219119,2.702312243955909,2.8750775015237466,6.393238159441084
11801,11242,156.21807161318824,-44.11435283920309,156.2185296955856,-44.11382719790398,2.232181581713093,2.309869661194722,2.4305014981752007,5.2224521152455345
11802,11243,156.41232841764023,-44.196998953116804,156.4124431832033,-44.19692215140912,0.4051983162428165,70.21937021525946,70.15409389063734,-0.09296056689487815
11805,11252,155.795464424951,-43.9326187452825,155.7956260116503,-43.93264159136667,0.4269207331021008,4.240028408802396,4.521361362870374,6.635166723975827
11807,11244,156.59196252719684,-44.27410198782286,156.59190594161623,-44.274120848481374,0.16088616115445573,2.229411413899946,1.765807676696721,-20.794893859103173
11812,11257,154.98578518238975,-43.58029083605378,154.9847815410489,-43.58037426386803,2.6345423909365273,623.8397146441041,535.0670430485973,-14.230044915648083
11813,11258,155.07031023080393,-43.61798082303634,155.0706303237528,-43.61803927761177,0.8603704623686586,5.45653569838668,5.9421215894125,8.89916089377721
11816,11255,154.39376315835776,-43.31936547981634,154.39406136811078,-43.319450957613064,0.8394868158573069,6.1127480669668035,6.23582486771191,2.0134446798194086
11819,11265,156.1607429212236,-44.094611548110066,156.16106694871596,-44.09495212565794,1.4849661780359642,3.97451389665713,4.230490668232032,6.44045481361125
11823,11263,154.26815370549815,-43.265915898082206,154.2680751280197,-43.266296036921396,1.3839155021762852,1.5504110778301698,1.4983935834397908,-3.355077574857021
11826,11264,155.26349671592416,-43.70605525919971,155.2647234919642,-43.70636260142073,3.378866542108344,2.6792184549447824,3.180044320043154,18.692983551753464
11829,11278,156.027126588206,-44.03906859123444,156.02710638721217,-44.03856062905211,1.8294109885842327,11.15828324537658,13.331251491694578,19.474037345470364
11830,11280,156.51228016883974,-44.24742358195296,156.51234982503127,-44.24743067996467,0.18143775582603902,3.2082390597876316,3.312211881947688,3.2408065677916986
11831,11266,156.5727283709223,-44.27295501339616,156.57218852620196,-44.273175583023246,1.6021587329758273,381.8521613748339,351.58574273042285,-7.926213782695052
11832,11267,152.7329468121028,-42.57344902755333,152.73283867037733,-42.573364975706454,0.41683474615151017,10.567880383520357,9.946893797705615,-5.876169707438348
11834,11271,153.20672928454243,-42.7890774558062,153.20587727156868,-42.788701729419635,2.6260757456737887,434.6036745291719,390.5056244874245,-10.146727380876621
11842,11289,153.5879227528297,-42.96470102371399,153.58852992459302,-42.96460033630936,1.6400824737086146,2.2072819566598403,2.9796263619638355,34.99074520016201
11843,11283,153.62683781813598,-42.982124971352306,153.62667589680447,-42.98198887265269,0.6495457669902451,4.3572559888877445,4.310888360592831,-1.0641474453914073
11845,11285,156.47783373272512,-44.23610242317984,156.4776509701658,-44.236111720775554,0.4725855554890508,38.11019488780565,36.84164498469949,-3.328636620307762
11846,11286,156.82227662941142,-44.38312131428828,156.82254583133619,-44.38332855085428,1.017991208843315,2.943078786924214,2.6288408621217836,-10.677183573832824
11848,11296,154.07470548420815,-43.18624397189896,154.0748548988678,-43.18556766024279,2.4661082559417733,6.789352769741535,5.612230701100443,-17.33776559508343
11849,11290,154.35388175027498,-43.308474418483264,154.35394680198863,-43.30882782554643,1.2836272460820766,16.02489444194208,15.594728424654487,-2.6843610037250323
