rank,candidate_id,A_source,C_source,B_source,A_ra,A_dec,C_ra,C_dec,B_ra,B_dec,total_motion_arcsec,motion_arcsec_per_day,C_prediction_error_arcsec,flux_A,flux_C,flux_B,motion_AC_arcsec,motion_CB_arcsec,rate_AC_arcsec_per_day,rate_CB_arcsec_per_day,position_angle_AC_deg,position_angle_CB_deg,direction_diff_deg,flux_mean,flux_variation,rate_consistency,trajectory_score,rate_consistency_score,c_error_score,flux_consistency_score,validation_score
11,3EPOCH-020,11330,9746,10957,154.1558958945717,-43.46500210904643,154.1541733465575,-43.47957976518533,154.1553597642622,-43.49041441967437,91.49503810742488,2.966841041591084,3.6962334339607623,5.655394060069769,6.809645937348869,5.1483421809238665,52.67216113912774,39.12766670230845,2.9712462466731466,2.9841304573636585,184.900653984223,175.45781366670565,9.442840317517351,5.871127392780835,0.1184045469671812,0.99568242378321,0.9475397760137925,0.99568242378321,0.07594164150980942,0.8815954530328188,77.44740788476265
12,3EPOCH-013,12667,10795,12023,153.01408189374678,-43.29444356783956,153.03739340125546,-43.29153233206265,153.0528645592934,-43.28851909418008,103.8380913786058,3.3670799811113787,3.20681784246179,2.094893679438912,2.670305801445477,3.2230958878139693,61.97535619494233,41.966991604489166,3.4960411818694404,3.2006758492320846,80.2721073021109,75.02537439567814,5.246732906432754,2.6627651228994527,0.17298464730586632,0.9155143440045478,0.9708514838531513,0.9155143440045478,0.19829553938455247,0.8270153526941337,77.09719267730469
13,3EPOCH-015,11965,10298,11559,156.56980005763,-44.68810846012959,156.5615622736618,-44.69590112783155,156.55696979411718,-44.70287439767328,62.48003053796859,2.0259931326796914,3.3371498299362257,7.098126275038254,5.418942844555908,5.41118361598346,35.092336577735814,27.718265699559367,1.979565126788246,2.113975298569835,216.92211208082765,205.08388490591753,11.838227174910116,5.976084245192541,0.13276416781680409,0.9364182864991273,0.9342320712504993,0.9364182864991273,0.16571254251594358,0.8672358321831959,76.77847822647158
14,3EPOCH-011,9630,8046,9126,156.67173495996485,-44.09391610353882,156.67929283628675,-44.08046886670004,156.68464524875952,-44.069204389050746,95.02076558914337,3.0811671647404784,2.750846526071603,3.231615026139641,1.4983786776714023,2.229036751304951,52.20605785596168,42.84984961462755,2.944953275192233,3.2680083456373965,21.986690199751596,18.850176403430215,3.136513796321367,2.3196768183719985,0.30628728768008956,0.9011461917236462,0.9825749233537702,0.9011461917236462,0.3122883684820993,0.6937127123199105,76.63165506836268
15,3EPOCH-019,11243,9546,10660,156.3740805767124,-44.41091500186948,156.3871235297908,-44.397592983371325,156.3979779275211,-44.38623974428349,108.02424422484374,3.502821222685704,3.580125572359118,3.781940466299495,5.056358259689018,5.371273029823358,58.52676764068856,49.49906101225735,3.3015056705757004,3.7751204716959132,34.97563145300612,34.343685164014346,0.6319462889917702,4.736523918603957,0.14506986178692463,0.8745431292402044,0.9964891872833791,0.8745431292402044,0.10496860691022047,0.8549301382130754,75.32894439817342
16,3EPOCH-021,3724,2203,3433,154.96753438608815,-41.514346203505056,154.981408612914,-41.498953049991485,154.98949755607802,-41.48835434550812,110.7343566733896,3.590700008311569,3.740920871670634,6.741231366883451,7.30086601455593,9.316094764093007,66.85769466757604,43.94982958737672,3.771454788375601,3.351899975673623,34.02327214463722,29.757549781194754,4.265722363442478,7.786064048510795,0.14201727732793493,0.8887551790372425,0.9763015424253195,0.8887551790372425,0.06476978208234152,0.8579827226720651,74.406751738965
17,3EPOCH-014,6216,4796,6011,156.3426742158269,-42.90912773918416,156.3243791360726,-42.91423122496052,156.30921401751473,-42.91697102338662,92.62943480821326,3.0036252733807136,3.2732604276447006,3.749235331763326,7.232886158161175,3.79371634591654,51.61818382351167,41.18125286354521,2.9117911934652287,3.140750300228083,249.14321397770942,256.137283127619,6.994069149909592,4.92527927861368,0.33131634246625946,0.9271005062878679,0.96114406027828,0.9271005062878679,0.18168489308882485,0.6686836575337405,73.65470800943574
18,3EPOCH-017,10569,9012,10121,154.2771667851355,-43.312633529854416,154.25950634495993,-43.30402794293923,154.24698638464247,-43.296015012727096,99.1500754204158,3.2150652004621603,3.506534720513371,5.633747744292101,3.1016105746624896,7.129129468609098,55.6785123622531,43.681785538912685,3.140835069206894,3.331457192437346,303.8018692772729,311.3245164796526,7.522647202379687,5.288162595854563,0.31434119810014743,0.9427811578479297,0.9582075155423351,0.9427811578479297,0.12336631987165725,0.6856588018998526,73.21016263713814
19,3EPOCH-022,9739,8261,9376,156.83235440073588,-44.19391548608702,156.8146451074957,-44.19310706169341,156.799430565338,-44.191523012333306,85.41824591828218,2.7697934547394247,3.744429006708256,2.6778748267109966,2.4289245462975653,4.104085438480977,45.80311638580142,39.683869246154465,2.58376217538849,3.026550082438212,273.63685276918284,278.25671175597,4.619858986787165,3.0702949371631796,0.24037810833223708,0.8536988006182245,0.9743341167400713,0.8536988006182245,0.06389274832293601,0.759621891667763,71.31128032056286
20,3EPOCH-016,11810,10172,11409,155.48228330141362,-44.18101768305768,155.4674963575856,-44.18770050953945,155.4548627570017,-44.19154546265009,80.29324993611293,2.6036090502907725,3.391152605264978,11.092470122952449,24.400121809045075,9.820826206781527,45.122129626983956,35.42750254730496,2.545347587731341,2.7019318627937516,237.77434238800612,246.99699710011603,9.222654712109914,15.10447271292635,0.4365254078492707,0.9420472894899337,0.9487630293771672,0.9420472894899337,0.15221184868375548,0.5634745921507294,71.03803838270272
21,3EPOCH-018,12738,10920,12169,156.35881889093886,-44.78863104898323,156.3774930029326,-44.79515518408688,156.39369976881684,-44.80024259543229,98.42764139647106,3.1916393737024125,3.557889695700484,3.0326954357639053,6.211091312246696,3.1359142103898714,53.17678531721229,45.27116710217606,2.9997121888841347,3.452673772188744,116.21741529974958,113.86895894774747,2.3484563520021027,4.126566986133491,0.35733904524278765,0.8688084617338566,0.986953020266655,0.8688084617338566,0.11052757607487895,0.6426609547572124,70.73661507665719
22,3EPOCH-023,2796,1409,2562,155.8634733443359,-41.61877673161999,155.86438218309567,-41.6057966528261,155.8671630998505,-41.59510165637065,85.80701698227661,2.782399842717399,3.9717716660747726,1.6818850975105402,3.859173537810245,2.204050054251885,46.79226817722986,39.22306583759699,2.639560408916609,2.9914062161607933,2.9969622651031123,11.004294316119115,8.007332051015993,2.5817028965242232,0.35949948347998056,0.8823811338816607,0.9555148219388,0.8823811338816607,0.007057083481306847,0.6405005165200195,68.08803067464034
